"state","year","co2_emission","total_num_investments","total_amnt_assist","BDFDB","BDPRP","BFFDB","BFPRP","CLPRB","CLPRK","CLPRP","COPRK","EMFDB","ENPRP","GETCB","HYTCB","NCPRB","NGMPB","NGMPK","NGMPP","NUETB","PAPRB","PAPRP","REPRB","SOTCB","TEPRB","TETCB","WDEXB","WDPRB","WDTCB","WSTCB","WWPRB","WYTCB","employment_total","employment_wage_salary","employment_proprietors","employment_proprietors_farm","employment_proprietors_nonfarm","employment_farm","employment_nonfarm","employment_nonfarm_private","employment_forestry_fishing_related","employment_mining_quarrying_oil_gas","employment_utilities","employment_contrsuction","employment_manufacturing","employment_wholesale_trade","employment_retail_trade","employment_transportation_warehousing","employment_information","employment_finance_insurance","employment_real_estate_rental_leasing","employment_professional_scientific_technical","employment_management_companies","employment_administrative_support_waste_remediation","employment_educational","employment_healh_care","employment_arts_entertainment_recreation","employment_accommodation_food","employment_other_services","employment_government_gov_enterprises","employment_federal_civilian","employment_military","employment_state_local","employment_state","employment_local","gdp_all_industry_total","gdp_private_industries","gdp_agriculture_forestry_fishing_hunting","gdp_farms","gdp_forestry_fishing_related","gdp_mining_quarrying_oil_gas","gdp_oil_gas","gdp_mining","gdp_support_activities_mining","gdp_utlilities","gdp_construction","gdp_manufacturing","gdp_durable_goods_manufacturing","gdp_wood_product_manufacturing","gdp_nonmetallic_mineral_product_manufacturing","gdp_primary_metal_manufacturing","gdp_fabricated_metal_product_manufacturing","gdp_machinery_manufacturing","gdp_computer_electronic_manufacturing","gdp_electrical_equipment_appliance_manufacturing","gdp_vehicles_trailers_parts_manufacturing","gdp_other_transportation_equipment_manufacturing","gdp_furniture_manufacturing","gdp_miscellaneous_manufacturing","gdp_nondurable_goods_manufacturing","gdp_food_beverage_tabacco_manufacturing","gdp_textile","gdp_apparel_manufacturing","gdp_paper_manufacturing","gdp_printing","gdp_petroleum_coal_manufacturing","gdp_chemical_manufacturing","gdp_plastics_rubber_manufacturing","gdp_wholesale_trade","gdp_retail_trade","gdp_transportation_warehousing","gdp_air_transportation","gdp_rail_transportation","gdp_water_trasnportation","gdp_truck_transportation","gdp_ground_passenger_transportation","gdp_pipeline_transportation","gdp_other_transportation","gdp_warehousing","gdp_information","gdp_publishing_industries","gdp_motion_pictures","gdp_broadcasting","gdp_data_processing_hosting","gdp_finance_insurance_real_estate","gdp_finance_insurance","gdp_monetary_authorities","gdp_securities_contracts","gdp_insurance_carriers","gdp_funds_trusts","gdp_real_estate_rental_leasing","gdp_real_estate","gdp_rental_leasing","gdp_professional_business","gdp_professional_scientific_technical","gdp_legal","gdp_computer_systems_design","gdp_misc_professional_scientific","gdp_management_companies_enterprises","gdp_administrative_support_waste","gdp_administrative_support","gdp_waste_remediation","gdp_educational_health_social","gdp_educational","gdp_health_care_social","gdp_ambulatory_health","gdp_hospitals","gdp_nursing","gdp_social_assistance","gdp_arts_entertainment_recreation_accommodation_food","gdp_arts_entertainment_recreation","gdp_performing_arts_spectator_sports_museums","gdp_amusement_gambling","gdp_accommodation_food","gdp_accommodation","gdp_food_services","gdp_other_services","gdp_government_gov_enterprises","gdp_federal_civilian","gdp_military","gdp_state_local","gdp_natural_resources_mining","gdp_trade","gdp_transportation_utlities","gdp_manufacturing_information","gdp_goods_producing_industries","gdp_services_providing_industries","party_governer","party_prop_representative","party_prop_senator","median_household_income","population","number_photovoltaic_shipments"
"Colorado",2016,88.4242759270629,258,1800615,0,0,19461,3413,270920,21.444,12634,5.722,19461,3413,759,17565,114808,1981005,1.175,1685756,0,663969,116038,149600,9509,3065494,1470307,0,14233,14233,1098,15331,86977,3667987,2726191,941796,34507,907289,46792,3621195,3135074,12737,60634,9618,239695,161350,116221,335156,113580,84967,211825,211843,327958,44982,209804,74304,336391,100804,289510,193695,486121,54157,51868,380096,117901,262195,327757.3,286825.4,2591.1,2242.3,348.7,8502.9,6227,958.7,1317.2,3955.8,18097.4,22838.8,14266.5,262.3,1274.1,243,1513.9,1333.8,4845.2,470.9,109.1,1917.9,531,1765.6,8572.2,4203.6,99.6,47,105.7,458.3,909.3,2059.9,688.8,18868.6,18013.9,11680.4,3967.4,683.5,7,2027.4,515,2447.3,1578.1,454.7,18031.4,5454.3,455.9,8522.4,3598.8,67391.2,18867.8,7574.8,4101,6947.3,244.7,48523.3,45073.3,3450.1,47494.7,31209.7,3339,8628.2,19242.5,6327.2,9957.8,9090.2,867.6,24599.1,3086.7,21512.4,12086.9,5620.8,1965.1,1839.6,17187.9,5779.1,2402.6,3376.5,11408.8,3112.7,8296.1,7572.5,40931.9,8498.4,4669.9,27763.6,11094,36882.5,15636.1,40870.2,52030.1,234795.4,0,0.583333333333333,0.5,65685,5543844,79489
"Connecticut",2016,34.0954400317057,28,962061,1496,275,1496,275,0,0,0,0,0,0,21,2069,6336,0,0,0,173363,0,0,34249,4128,207612,724686,0,14933,14933,11485,26418,118,2300038,1743757,556281,5094,551187,10187,2289851,2031916,2438,3545,6667,115702,165964,69586,221757,63717,39523,195628,118375,163855,37726,121010,86098,305646,54617,140284,119778,257935,17898,13438,226599,76337,150262,266747.3,239884.5,322.2,251.2,71,311.1,0,308,3.2,4324.4,7811.3,27718.3,19829.3,95.2,262.1,389.3,3811.1,1832.7,1885.8,1309.7,454.7,7139.6,199.2,2449.9,7889,1475.8,209.6,106.1,313.2,494.3,178.4,4525.7,585.9,14979,13240.2,5335.2,460.3,59.4,279.8,825.7,878.1,1009,1155.2,667.7,14227.1,2448.7,1679.7,8893.8,1205,78564.7,40876.2,6176.3,10499.8,23975.5,224.7,37688.5,34114.4,3574.1,32277.4,18148.6,2890.8,4107.1,11150.7,7094.9,7033.9,6264.8,769.1,27126.5,6073.8,21052.7,9769.6,5951.8,3266.6,2064.7,8735.2,2483.6,1286.4,1197.1,6251.7,1447.3,4804.4,4911.9,26862.8,2820.1,2933.8,21108.8,633.4,28219.2,9659.6,41945.4,36162.9,203721.6,0,0,0,73433,3579830,109217
"Delaware",2016,14.41948129046,38,502817,0,0,0,0,0,0,0,0,0,0,430,0,1612,0,0,0,0,0,0,3105,1133,3105,280937,0,825,825,667,1493,49,578698,464182,114516,1921,112595,4021,574677,500823,NA,NA,2309,30645,27284,13234,62720,19445,6186,59172,28318,36641,10996,33442,9760,74494,15167,42212,26974,73854,5667,8638,59549,32637,26912,69284.2,62619.4,429.5,391.8,37.8,3.6,0,3.6,0,1046.7,2532.4,3979.1,1323.1,25,56.2,27.8,145.4,108.8,558.5,95.4,8.4,85.6,34.3,177.6,2656,841.7,62.5,1.8,193.8,34.6,378.3,905.9,237.3,2162.3,2698.5,1085.9,31.2,128.5,1.1,238.7,94.7,2.6,289.3,299.9,1092.5,179.5,39.7,520.9,352.5,31525.4,21064,11343.3,1149.3,8496.6,74.9,10461.3,7249.9,3211.4,7539.5,4339.6,1596.6,656.3,2086.7,1650.4,1549.4,1407.7,141.8,5641.7,451,5190.7,1900.6,2323.4,586.6,380.1,1916.6,445.3,89.2,356.1,1471.3,245.5,1225.8,965.8,6664.7,753.4,567.6,5343.7,433.1,4860.8,2132.6,5071.6,6944.6,55674.9,0,0,0,61757,949989,NA
"Florida",2016,238.832695584686,72,4068360,558,103,558,103,0,0,0,5.722,0,0,10056,1611,42513,1062,1.484,716,306658,11066,1934,223405,30846,542192,4362567,9939,108866,98926,71468,180333,0,11673482,8735345,2938137,39019,2899118,79172,11594310,10417589,60811,27436,27067,667678,398719,384368,1285156,445761,175877,680363,716446,806603,137375,942649,223749,1287923,344157,1016894,788557,1176721,137602,91573,947546,255036,692510,941561.2,834319.8,6205.7,4093.4,2112.2,1246,34.2,1158.1,53.6,16534.8,45661.6,50097.2,30236.7,971.3,2853.2,1585.7,3250.3,2805.6,7612.7,1080.6,616.2,4726.1,837.9,3897.1,19860.5,7067.2,341.5,228.3,1669.1,1480.4,889.7,6826.1,1358.3,65581,68798.9,31423.6,10628.7,898.7,3116.1,5185.2,1401.8,93.8,7926.7,2172.6,39902.2,7273.3,1971.4,24054.1,6603.4,213555,54851.8,17309.4,9370.4,27577.2,594.7,158703.2,143897.1,14806.1,119462.7,67662.8,15896,10967.4,40799.4,14287.2,37512.7,35283.4,2229.2,91641.9,10578.8,81063.1,44449.6,23836.9,8126.3,4650.3,59131.8,15508.9,6305.9,9203,43622.9,15252.1,28370.8,25077.7,107241.4,17357.8,10001.8,79881.7,7451.6,134379.9,47958.4,89999.3,103210.4,731109.4,1,0.58974358974359,0.666666666666667,50860,20627237,467599
"Georgia",2016,144.537736961636,222,20155611,1770,326,17166,3026,0,0,0,0,15397,2700,315,31137,41707,0,0,0,360633,0,0,282334,10256,642967,2951822,15655,212606,196951,10855,223461,0,5971967,4552293,1419674,36186,1383488,55351,5916616,5146688,25695,10893,22210,312833,412379,237714,596381,280121,133029,286011,255476,399262,77200,477157,123535,555749,111423,454003,375617,769928,100620,89742,579566,175552,404014,541292.2,477617.2,3763,2716.1,1047,975.3,0,939.8,35.5,10343.1,21212.1,58690.9,26866.5,1837.9,2331.1,876.8,2995.7,3569.5,2132.3,2467.9,2785.7,5326.1,1018.6,1524.9,31824.5,13382,4364.4,102.2,4270,1317.2,502.9,4947.9,2937.9,42859.4,30134.4,23972.2,10911.5,1224.9,43.4,4684.6,455.4,274.5,4000.4,2377.4,42702.6,6643.5,2719.5,29241.5,4098,108206.4,43873.1,26941.7,3952.1,12462.9,516.4,64333.3,55156.5,9176.8,65269.1,36851.7,6478.9,8905.8,21467,9888.5,18529,17620.3,908.7,41491.3,6262.5,35228.8,18384.8,12136.4,2347.8,2359.7,17883.3,3192,1694.8,1497.2,14691.3,2698.9,11992.5,10113.9,63675,13470.7,7471.8,42732.6,4738.3,72993.8,34315.3,101393.5,84641.4,392975.7,1,0.692307692307692,1,53559,10308442,756458
"Hawaii",2016,19.8184685704925,18,429104,451,83,451,83,0,0,0,0,0,0,2409,839,18961,0,0,0,0,0,0,27593,9813,27593,300390,0,35,35,8146,8181,5900,913087,722115,190972,5961,185011,12255,900832,717352,3975,1017,4534,50078,18880,21712,89517,36375,10747,30059,42960,46618,9479,64979,20250,81197,22991,112214,49770,183480,33223,56393,93864,74552,19312,85899.9,68236.1,424.7,337.6,87.1,71.2,0.5,70.3,0.4,1794.2,5272.1,1579.8,405.8,12.4,144.6,0.9,36.9,6.5,29.2,2.5,0.4,103.1,17.4,51.9,1174,538.9,15.3,19.1,7.9,66.2,413.2,81.9,31.4,2679.6,5476.9,4562.7,2915.9,0,282,297.3,257.9,NA,768.9,40.8,1851.7,211.2,250.4,1252.5,137.6,20123.6,2894.5,1073.2,185.8,1617,18.5,17229.2,15577.2,1651.9,7437,3457.5,716.2,622.1,2119.2,1064.1,2915.4,2667.8,247.6,6628.2,957.7,5670.5,2895.5,1740.8,431.6,602.6,8429.6,913.5,433.2,480.3,7516.1,4619,2897.2,1904.9,17663.8,4325,5328.6,8010.2,495.9,8156.5,6356.9,3431.5,7347.7,60888.4,0,0,0,74511,1428885,109648
"Iowa",2016,73.9833700762284,149,4220545,38419,7071,585659,103054,0,0,0,0,547240,95983,1281,8464,195637,0,0,0,49185,0,0,801820,587,851005,1534622,0,6107,6107,14417,20524,185305,2066316,1633118,433198,70831,362367,89517,1976799,1708086,15654,4906,7107,121732,221236,71709,224684,77804,27067,132927,70896,80311,20824,88491,49329,219009,36021,131308,107071,268713,17756,11924,239033,67509,171524,179939.8,158915.4,7595.8,7075.9,519.9,248.2,0,244.3,3.9,3135.9,7919.4,30653.7,15629.2,800.9,1162.5,920.7,1716.7,5755.5,1871.8,821.2,946.3,373.3,853,407.2,15024.6,7569.8,51.9,51.4,780.4,543.2,168.6,4714.5,1145,10843.4,9464.3,5700.1,100.4,993.8,18.9,2926.6,143.2,97.5,625.4,794.3,4496.5,1346,161,2109,880.4,44524.1,26533.3,6509,677.9,19297.6,48.8,17990.8,16640.1,1350.6,11572.2,5942,1071.7,1263.5,3606.8,2165.9,3464.3,3151.4,312.9,13769.7,1856.1,11913.6,5606.9,3133.8,2068.4,1104.5,5309.9,1110.5,406.2,704.4,4199.3,1323.4,2875.9,3682.2,21024.3,2016.6,845.6,18162.1,7844,20307.7,8836,35150.2,46417.2,112498.3,1,0.666666666666667,1,56247,3133210,24830
"Idaho",2016,18.3418212034818,127,1317624,0,0,9206,1615,0,0,0,5.722,9206,1615,2167,83395,109756,5208,1.123,4637,0,1230,215,151509,390,157946,540164,0,31050,31050,1497,32547,23804,976764,726745,250019,22884,227135,40099,936665,805146,13060,5430,3448,63337,70910,31656,109057,28813,11950,40903,49655,57481,6942,57290,17332,102404,20192,67345,47941,131519,12871,8960,109688,31566,78122,69075.5,59829.9,3462.5,2951.8,510.6,555.8,40.4,482.8,32.6,1325.7,4237.5,7338.4,4466.5,632.3,133,168.5,517.3,258.3,2160,151.8,96.9,125.6,98.9,123.8,2871.9,1840.4,24.5,28.6,264.9,148.8,18.7,335.1,210.8,4522.7,5594.3,1977.8,207.4,348.2,5.4,921.5,89.8,12.9,293.3,99.3,1515.3,299.7,42.6,823.1,349.8,12195.4,3010.4,1441.6,281.2,1206.5,81.2,9185,8782,403,6663.6,3703.2,383.7,495.1,2824.4,589.1,2371.3,1965.6,405.7,6453.4,566.6,5886.8,2496.1,2455.8,522.9,412.1,2643.3,503.9,151.1,352.8,2139.4,621.1,1518.3,1344.1,9245.5,1821.3,545.5,6878.8,4018.3,10117,3303.5,8853.7,15594.1,44235.8,1,1,1,51807,1684036,207953
"Illinois",2016,207.430558766931,36,1325335,18598,3423,252801,44501,977131,22.424,43575,5.722,234203,41078,2042,1226,103746,2317,1.061,2183,1031331,49432,8639,375139,2033,2435349,3925630,0,7597,7597,10995,18592,98445,7799138,6175887,1623251,60852,1562399,75067,7724071,6851548,12802,28132,26138,338514,596629,320891,727660,405998,118669,493951,305313,573174,106148,540727,212774,879666,163816,541215,459331,872523,80328,41075,751120,148027,603093,803943.7,725121.5,5785.6,5369,416.6,1702.3,116.3,1469.6,116.4,13116.2,28303.5,98718.9,49676.1,486.9,2286.1,2087.5,9830.1,13615.7,5599.6,3754.1,4403.6,813.2,1290.9,5508.4,49042.8,13428.8,290.4,272.3,2127.5,2820.6,4543.2,19949.3,5610.6,62268.6,40891,30846.8,8887.5,2654.4,341.9,8101.2,2188.3,338.7,4986.9,3347.9,28430.3,6367.2,1287.8,13520.1,7255.3,183883.8,81544.3,27960.4,13547.8,39372.2,664,102339.6,90273.5,12066,109108.8,67077.5,15944.7,12261.1,38871.6,16128.3,25903,23963.7,1939.3,70190.9,12704.3,57486.6,24128.3,22678.7,6224.6,4455,33531.3,9392.1,4726.1,4666,24139.2,6465.5,17673.7,18343.4,78822.1,11894.5,3131.6,63796.1,7487.8,103159.6,43963.1,127149.2,134510.3,590611.3,1,0.424242424242424,0.333333333333333,60960,12821709,11687
"Indiana",2016,181.82756771841,45,11391681,12981,2389,166925,29390,654493,22.752,28767,5.722,153944,27001,4647,3935,56205,6441,1.038,6205,0,10397,1817,257458,2391,928789,2777075,0,17951,17951,16378,34328,45232,3847689,3151213,696476,50544,645932,61100,3786589,3340631,9981,12893,14585,198570,538715,127166,396246,169077,41150,151292,140373,173098,39029,232896,85649,434472,71427,279396,224616,445958,37665,21180,387113,118284,268829,337217.2,305016.4,3666.6,3220.6,446,1233.2,31.3,1166.3,35.6,6733.6,12588.9,90835.3,53916.6,1087.3,1741.9,8778.4,6526,5839.9,2233.1,931.8,18452.8,2268.9,1950.5,4106,36918.8,6806.7,214.8,102.3,1077.3,1261.2,2931.8,20723.8,3800.9,19218.8,19330.5,11601.1,554.9,1266,281,5194.6,357.9,197.4,1797.9,1951.3,6509.8,1406,296.3,3862.2,945.4,52148,19727.8,4368.9,1480.2,13561.4,317.2,32420.2,30169,2251.2,28570.6,14492.7,2405.3,3145.5,8941.9,4531.2,9546.6,8415.4,1131.2,32204.8,3810.9,28393.9,13829.8,9408,3244.2,1911.9,12779,3727.5,1623.3,2104.2,9051.5,1825.5,7225.9,7596.2,32200.8,4655.5,1193.5,26351.9,4899.8,38549.3,18334.8,97345.1,108324,196692.4,1,0.733333333333333,0.5,52314,6637898,44159
"Kansas",2016,62.6093698749356,130,1440764,171,31,67755,11885,617,23.051,27,5.722,67585,11854,974,282,131653,281646,1.151,244795,86245,217116,37944,205800,125,791424,1092806,0,3973,3973,2418,6391,130272,1916428,1481174,435254,50783,384471,63840,1852588,1560787,10389,48555,7133,93539,167724,64843,188513,65706,24998,102698,68395,108059,27824,103233,27996,201830,32373,119764,97215,291801,25082,33492,233227,54192,179035,159232.8,138528.3,4663.8,4300.2,363.6,867,572.2,112.5,182.4,2949.1,5941.9,24074.4,13958.5,182.8,629.4,114,1400,1780.5,569.8,514.1,1328.7,6824.2,252.1,363.1,10115.9,4179.3,50.9,48.5,259,889.1,1686.8,1991.2,1011.1,10458.6,9757,6057,66.6,1586.8,0.2,1787.4,171.2,834,972.1,638.7,5365,797.4,126.5,3904.3,536.8,30498.4,9546.8,2836.5,952.1,5382.3,376,20951.5,14107.1,6844.4,16843.4,8933.8,968.6,2375.9,5589.3,3266,4643.6,4335.7,307.9,12797.1,1102.8,11694.2,5164.4,4040.2,1491.2,998.4,4873,871.8,141.8,730,4001.2,620.2,3380.9,3382.6,20704.4,2670.8,2842.1,15191.6,5530.9,20215.6,9006.1,29439.4,35547.1,102981.2,1,1,1,54935,2912977,1298
"Kentucky",2016,126.80817954949,76,2257870,5658,1041,9693,1749,1041121,24.279,42881,5.722,4035,708,2712,32108,35186,102591,1.119,91640,0,14849,2595,76971,366,1235531,1704124,0,30577,30577,1514,32092,0,2498847,1997170,501677,69125,432552,82824,2416023,2062223,13329,20656,7206,127607,256113,81164,259979,120693,27884,108346,87797,113420,24527,153462,40605,265918,40246,181790,131481,353800,36736,45106,271958,99070,172888,195840.2,168707,2488.2,2011.5,476.7,1789.7,146.9,1492.4,150.3,3615.1,8082.8,35530,20978.4,687.2,908.6,2516.3,2011.1,1810.5,1467.1,1354.3,8992.5,563.4,285,382.3,14551.6,7090,177.5,52.9,1620.9,759.7,862.8,2238.8,1749,13875,11558.6,9010.6,467.5,634.3,601.3,2161.2,170.3,217.7,3248.1,1510.2,4630.3,571.8,122.8,3248.8,686.9,31227.3,11450,3874.2,1131.9,6367,76.9,19777.3,18383.4,1393.9,16740.2,8111,1595.5,1493.8,5021.8,2808.1,5821.1,5280.8,540.3,18422.5,1393.6,17029,7842.4,6335.8,1726.7,1124.1,7587.5,1010.1,567.5,442.6,6577.4,1406.4,5171,4149.4,27133.2,4616.3,3884,18632.8,4277.8,25433.6,12625.6,40160.3,47890.7,120816.4,1,0.846153846153846,1,46659,4440306,14587
"Louisiana",2016,189.139859567504,98,1499474,0,0,0,0,38499,13.761,2798,5.722,0,0,1842,10183,13876,1893803,1.061,1784396,179391,328643,57435,154742,1851,2595078,4030644,6011,128495,122484,12371,140865,0,2690820,2048769,642051,23710,618341,31599,2659221,2299253,19201,70576,9194,197948,146112,77285,281920,104566,29743,108561,118421,141821,30038,153304,55674,312186,53618,221558,167527,359968,30807,36255,292906,79865,213041,223409.5,196763.5,1586.4,1005.3,581.1,7944.5,4783.2,303.1,2858.2,4762.8,12204.4,38356,7312.2,781.1,687.8,381.7,1680,1667.6,225.7,160.1,73.9,1264.2,71.6,318.4,31043.8,2354.2,89,24,1987.5,208.2,10704.8,15220,456.1,12005.6,15584.5,8749.5,722.2,630.3,1432.9,1686.8,344.4,700.8,2350.4,881.6,4929.7,470.6,1107,2929.5,422.7,34281,10163.1,4183.5,724,5115,140.7,24117.9,19658.6,4459.3,19931.5,11259.7,3354.8,970.7,6934.2,2637.7,6034,5078.3,955.7,20534.6,2497.6,18037,8855.9,6313.6,1566,1301.5,10831.1,2290.7,1215.5,1075.2,8540.4,2981.9,5558.5,5061.9,26646,3739.7,2407.9,20498.4,9531,27590.1,13512.3,43285.8,60091.4,136672.2,0,0.8,1,45146,4681346,2634
"Massachusetts",2016,64.0897352883491,35,841616,56,10,56,10,0,0,0,0,0,0,859,6578,26927,0,0,0,56628,0,0,65616,17495,122244,1426034,0,18928,18928,19705,38633,1995,4709906,3674654,1035252,6292,1028960,11021,4698885,4234911,10331,3749,13419,248872,260841,137664,415323,153201,104597,282835,200454,462630,69226,249664,242652,691348,124378,323418,240309,463974,46309,19710,397955,126624,271331,519143.5,467280.9,689.5,161.1,528.4,344.8,2.5,323.6,18.7,5867.6,18476.9,50382.5,33156.2,193.3,875.5,330.9,5085.8,2102.2,15868.2,1322.5,244.8,1952.4,359.7,4821,17226.4,2906.9,437.9,354.4,812,1283.4,343.4,9494.9,1593.6,26412,20833.3,9128.2,2294.1,389,156,1747.3,2022.5,48.9,1598.3,872,27974.8,15119.2,646.2,6387.1,5822.3,121636.2,49051.1,14911.2,16246.7,17112.4,780.7,72585.2,68596.4,3988.8,87998.8,62928.5,7610,15087.3,40231.2,11397,13673.4,12159.6,1513.7,65946.2,16132.5,49813.8,19501.4,20362,4998.3,4952,21832.8,6798.4,4238.2,2560.2,15034.5,3749.2,11285.2,9757.1,51862.6,8343.1,6563.7,36955.9,1034.3,47245.3,14995.8,78357.3,69893.8,397387.1,1,0,0,75297,6827280,512035
"Maryland",2016,60.4676099517395,65,1349074,0,0,0,0,37859,23.431,1616,0,0,0,570,12853,25123,36,1.051,34,154377,0,0,48237,6834,240509,1386648,0,14188,14188,8927,23115,4866,3655889,2803354,852535,11143,841392,18642,3637247,3070960,6577,4710,11719,236260,114807,95333,347368,140083,52250,167963,181241,356473,30375,236273,103439,435455,89401,246651,214582,566287,174894,49308,342085,98437,243648,387620.2,309733.5,865,726,138.9,249.1,2.3,208,38.8,6871,17146.9,21556.6,9911,225.3,668.9,112.2,825,1143.4,4403.8,215.7,192.4,830.4,369.4,924.4,11645.6,2809.3,125.7,99.6,263.4,667.1,395.7,6313.9,970.9,16821.8,19201.8,8425.2,1770.9,420.8,229.8,1621.1,1016.5,44.7,1997.6,1323.8,16659,2777.1,502.9,11790.1,1589,89208.3,20977.2,6022.8,4259.6,9707.8,986.9,68231.1,56440.4,11790.7,53517.5,38012.8,4152.2,10978.3,22882.3,3960,11544.7,10572.4,972.3,35303.5,6298.2,29005.3,14066.7,9458.6,3365.6,2114.4,15208.7,4658.1,2282.1,2376.1,10550.6,2351.9,8198.7,8699.2,77886.7,38005.9,9604.2,30276.5,1114.1,36023.6,15296.2,38215.6,39817.6,269916,1,0.142857142857143,0,78945,6007014,141104
"Maine",2016,16.1531079861607,41,795948,60,11,60,11,0,0,0,0,0,0,72,27693,43575,0,0,0,0,0,0,141943,418,141943,392025,0,94739,94739,3570,98309,15391,826669,632456,194213,7090,187123,10965,815704,708436,15055,1196,1971,53731,56301,22386,99779,21933,10070,32945,33393,44708,10802,42586,21019,116225,20735,62188,41413,107268,15029,6948,85291,26587,58704,59754.2,51396.8,835.6,313.5,522,24.5,0,24.5,0,962.3,2138.1,5739.5,3013.2,378.1,132.7,24.7,520.4,223.5,404.9,33,94.8,948.9,91.7,160.6,2726.3,746.7,114.4,107.5,754.7,109.3,89.3,554.2,250.3,3351.7,4810,1335.3,85.5,55.5,8.3,532.2,120.4,23.4,260.2,249.8,1183,343.6,50.5,611.3,177.7,12340,3618.4,1273.7,273.7,2068.4,2.6,8721.6,8227.3,494.3,6110.8,3215.2,580.8,624.6,2009.8,1098.5,1797.1,1604.7,192.4,8079.2,993.6,7085.6,2506.5,3012.3,915.3,651.6,3176.8,631.9,296.1,335.8,2544.9,842.8,1702.1,1310.1,8357.4,1895.7,564.7,5897,860.1,8161.7,2297.6,6922.5,8737.7,42659.1,1,0.333333333333333,0.5,53079,1332348,NA
"Michigan",2016,154.518853075432,61,1293489,1300,239,40207,7063,0,0,0,5.722,38907,6824,5193,14442,64076,108450,1.063,102003,329999,32266,5639,216674,1089,687389,2806190,0,90056,90056,22336,112392,43351,5575625,4403803,1171822,43271,1128551,67159,5508466,4898592,17028,20669,21211,260097,627488,188238,568306,165705,73489,247073,246604,409487,66810,375676,109078,673887,105478,399386,322882,609874,52209,18255,539410,183425,355985,488962.6,437678.4,2807,2265.5,541.5,1867.6,107.1,1648,112.5,9721.7,18972.6,93525.3,72828.4,891.5,1636.8,2815.3,7721.6,8254,2132.1,2555.7,40176.5,1082.3,2373,3189.6,20697,5670.9,280.1,193.9,1429.8,1348.5,808.8,6732.4,4232.5,32858.4,28886.9,12397.9,3378.3,423.2,103.7,4384.9,506.2,325.6,2130.6,1145.2,13095.7,3699,619.4,6093,2684.4,84932.5,27005.3,8807,2353.7,15544.8,299.7,57927.2,50696.4,7230.7,63845.7,38387.3,4757,6458,27172.2,9677.7,15780.7,14443.7,1337,46464.1,4299.9,42164.1,18227.7,17502.5,4043.4,2390.6,17270.7,3490.8,2070,1420.8,13779.9,3932.3,9847.6,11032.4,51284.2,7428,1679,42177.2,4674.6,61745.3,22119.5,106621.1,117172.5,320505.9,1,0.636363636363636,0,52491,9954117,72311
"Minnesota",2016,91.1005434231766,92,16796366,9572,1762,168756,29682,0,0,0,0,159184,27920,1075,11157,104583,0,0,0,144970,0,0,351303,645,496273,1838918,0,63244,63244,14720,77964,91706,3698285,2955738,742547,61129,681418,76758,3621527,3198931,14010,11066,13618,176227,334692,141734,363915,127412,59096,214407,144559,236280,83037,173364,93099,492421,87286,235979,196729,422596,31957,19777,370862,94007,276855,341696.3,307983.7,5024.1,4621.1,402.9,2149.8,44.4,2097.4,8,5280.9,13368.7,47716.1,30732.2,1191.1,1231.9,647,4209,4415.6,9150.2,1378.6,850.7,1664.7,865.9,5127.4,16983.9,6027,368.9,136.7,1647.2,2197.4,2201.7,2805.3,1599.9,25253.4,18474.4,10652.7,3203.4,1112.3,215.8,2994.7,820.9,328.4,1398.8,578.4,12173,4419,340.2,5045.3,2368.5,68384.8,30435.8,11906.4,4037.9,13919.7,571.8,37949,35776.8,2172.2,44930.6,24067.6,3784.2,5671.7,14611.8,12414.1,8448.9,7685.6,763.3,35787.6,3716.8,32070.8,14873.4,9875.8,4337.1,2984.4,11600.4,3177,1892.7,1284.3,8423.4,1821.5,6601.9,7187.1,33712.7,3943,1400.2,28369.5,7173.9,43727.8,15933.6,59889.1,68258.7,239725,0,0.363636363636364,0,65599,5525360,447968
"Missouri",2016,119.015707932667,520,10631411,21036,3872,58928,10518,5125,21.912,234,5.722,37892,6646,352,11711,24297,1,1.024,1,98630,704,123,105876,1876,210336,1781656,0,20211,20211,2441,22652,10357,3700663,2925143,775520,88012,687508,98263,3602400,3131630,13339,9927,12604,192178,277831,130251,386632,129901,57998,192951,155317,216711,69708,207167,82452,441217,74325,273682,207439,470770,58422,34717,377631,104227,273404,297752.6,261891.6,3303.5,2926.3,377.2,736.2,2.2,715.1,19,5290.4,10744,37008.9,19572,596.7,864.6,698.1,2796.2,2739.4,2052.2,1677.9,4476.1,2121.5,459.8,1089.5,17436.9,6993.3,142.7,146.6,1197.8,1253.7,468.1,5689.5,1545.1,20476.1,17945.4,10133.3,1202.3,1717.7,112.9,3782.9,481.8,82.7,1751.5,1001.5,11659,1704.6,322.5,6449.6,3182.3,56716.6,23104.7,10044.9,3462.9,9512.2,84.7,33611.9,28688,4923.9,37950.2,20526.5,4290.4,4995.2,11240.9,8714,8709.7,8070.6,639.2,30608.6,4052.1,26556.5,10852.1,10607.7,2820.4,2276.3,12354.9,3774.1,2390,1384,8580.8,1749.8,6831,6964.5,35861.1,7162,2524.4,26174.7,4039.7,38421.5,15423.7,48667.8,51792.6,210099,0,0.75,0.666666666666667,51746,6091384,15489
