SAEMP25N Total full-time and part-time employment by NAICS industry 1/,,,,
SAEMP25N Total full-time and part-time employment by NAICS industry 1/,,,,
State or DC,,,,
GeoFips,GeoName,LineCode,Description,2020
4000,Arizona,1400,      Administrative and support and waste management and remediation services,308238
4000,Arizona,1500,      Educational services,80763
4000,Arizona,1600,      Health care and social assistance,451053
4000,Arizona,1700,"      Arts, entertainment, and recreation",75527
4000,Arizona,1800,      Accommodation and food services,266680
4000,Arizona,1900,      Other services (except government and government enterprises),196782
4000,Arizona,2000,    Government and government enterprises,452183
4000,Arizona,2001,      Federal civilian,58974
4000,Arizona,2002,      Military,35715
4000,Arizona,2010,      State and local,357494
4000,Arizona,2011,        State government,95516
4000,Arizona,2012,        Local government,261978
5000,Arkansas,,Employment by place of work,
5000,Arkansas,10,Total employment (number of jobs),1640442
5000,Arkansas,,By type,
5000,Arkansas,20,  Wage and salary employment,1260663
5000,Arkansas,40,  Proprietors employment,379779
5000,Arkansas,50,    Farm proprietors employment,38163
5000,Arkansas,60,Nonfarm proprietors employment 2/,341616
5000,Arkansas,,By industry,
5000,Arkansas,70,  Farm employment,55092
5000,Arkansas,80,  Nonfarm employment,1585350
5000,Arkansas,90,    Private nonfarm employment,1363263
5000,Arkansas,100,"      Forestry, fishing, and related activities",14464
5000,Arkansas,200,"      Mining, quarrying, and oil and gas extraction",9304
5000,Arkansas,300,      Utilities,8260
5000,Arkansas,400,      Construction,97511
5000,Arkansas,500,      Manufacturing,160488
5000,Arkansas,600,      Wholesale trade,50670
5000,Arkansas,700,      Retail trade,167575
5000,Arkansas,800,      Transportation and warehousing,76591
5000,Arkansas,900,      Information,15116
5000,Arkansas,1000,      Finance and insurance,67852
5000,Arkansas,1100,      Real estate and rental and leasing,66121
5000,Arkansas,1200,"      Professional, scientific, and technical services",68790
5000,Arkansas,1300,      Management of companies and enterprises,35840
5000,Arkansas,1400,      Administrative and support and waste management and remediation services,91367
5000,Arkansas,1500,      Educational services,21805
5000,Arkansas,1600,      Health care and social assistance,192866
5000,Arkansas,1700,"      Arts, entertainment, and recreation",21004
5000,Arkansas,1800,      Accommodation and food services,106983
5000,Arkansas,1900,      Other services (except government and government enterprises),90656
5000,Arkansas,2000,    Government and government enterprises,222087
5000,Arkansas,2001,      Federal civilian,21272
5000,Arkansas,2002,      Military,14965
5000,Arkansas,2010,      State and local,185850
5000,Arkansas,2011,        State government,78668
5000,Arkansas,2012,        Local government,107182
6000,California,,Employment by place of work,
6000,California,10,Total employment (number of jobs),23155486
6000,California,,By type,
6000,California,20,  Wage and salary employment,17296866
6000,California,40,  Proprietors employment,5858620
6000,California,50,    Farm proprietors employment,57337
6000,California,60,Nonfarm proprietors employment 2/,5801283
6000,California,,By industry,
6000,California,70,  Farm employment,231488
6000,California,80,  Nonfarm employment,22923998
6000,California,90,    Private nonfarm employment,20189055
6000,California,100,"      Forestry, fishing, and related activities",245782
6000,California,200,"      Mining, quarrying, and oil and gas extraction",35524
6000,California,300,      Utilities,63653
6000,California,400,      Construction,1210640
6000,California,500,      Manufacturing,1361111
6000,California,600,      Wholesale trade,728692
6000,California,700,      Retail trade,1942803
6000,California,800,      Transportation and warehousing,1270086
6000,California,900,      Information,612122
6000,California,1000,      Finance and insurance,1158026
6000,California,1100,      Real estate and rental and leasing,1217024
6000,California,1200,"      Professional, scientific, and technical services",2048058
6000,California,1300,      Management of companies and enterprises,277688
6000,California,1400,      Administrative and support and waste management and remediation services,1454546
6000,California,1500,      Educational services,521300
6000,California,1600,      Health care and social assistance,2752113
6000,California,1700,"      Arts, entertainment, and recreation",528023
6000,California,1800,      Accommodation and food services,1436377
6000,California,1900,      Other services (except government and government enterprises),1325487
6000,California,2000,    Government and government enterprises,2734943
6000,California,2001,      Federal civilian,260501
6000,California,2002,      Military,197728
6000,California,2010,      State and local,2276714
6000,California,2011,        State government,558330
6000,California,2012,        Local government,1718384
8000,Colorado,,Employment by place of work,
8000,Colorado,10,Total employment (number of jobs),3821923
8000,Colorado,,By type,
8000,Colorado,20,  Wage and salary employment,2787065
8000,Colorado,40,  Proprietors employment,1034858
8000,Colorado,50,    Farm proprietors employment,35311
8000,Colorado,60,Nonfarm proprietors employment 2/,999547
8000,Colorado,,By industry,
8000,Colorado,70,  Farm employment,49011
8000,Colorado,80,  Nonfarm employment,3772912
8000,Colorado,90,    Private nonfarm employment,3265213
8000,Colorado,100,"      Forestry, fishing, and related activities",13962
8000,Colorado,200,"      Mining, quarrying, and oil and gas extraction",41199
8000,Colorado,300,      Utilities,9126
8000,Colorado,400,      Construction,269501
8000,Colorado,500,      Manufacturing,163308
8000,Colorado,600,      Wholesale trade,118125
8000,Colorado,700,      Retail trade,329205
8000,Colorado,800,      Transportation and warehousing,169534
8000,Colorado,900,      Information,88613
8000,Colorado,1000,      Finance and insurance,240832
8000,Colorado,1100,      Real estate and rental and leasing,231196
8000,Colorado,1200,"      Professional, scientific, and technical services",365968
8000,Colorado,1300,      Management of companies and enterprises,50509
8000,Colorado,1400,      Administrative and support and waste management and remediation services,204979
8000,Colorado,1500,      Educational services,74910
8000,Colorado,1600,      Health care and social assistance,352162
8000,Colorado,1700,"      Arts, entertainment, and recreation",92945
8000,Colorado,1800,      Accommodation and food services,251941
8000,Colorado,1900,      Other services (except government and government enterprises),197198
8000,Colorado,2000,    Government and government enterprises,507699
8000,Colorado,2001,      Federal civilian,54740
8000,Colorado,2002,      Military,56277
8000,Colorado,2010,      State and local,396682
8000,Colorado,2011,        State government,130454
8000,Colorado,2012,        Local government,266228
9000,Connecticut,,Employment by place of work,
9000,Connecticut,10,Total employment (number of jobs),2217497
9000,Connecticut,,By type,
9000,Connecticut,20,  Wage and salary employment,1628363
9000,Connecticut,40,  Proprietors employment,589134
9000,Connecticut,50,    Farm proprietors employment,5018
9000,Connecticut,60,Nonfarm proprietors employment 2/,584116
9000,Connecticut,,By industry,
9000,Connecticut,70,  Farm employment,9400
9000,Connecticut,80,  Nonfarm employment,2208097
9000,Connecticut,90,    Private nonfarm employment,1970346
9000,Connecticut,100,"      Forestry, fishing, and related activities",
9000,Connecticut,200,"      Mining, quarrying, and oil and gas extraction",
9000,Connecticut,300,      Utilities,5753
9000,Connecticut,400,      Construction,113838
9000,Connecticut,500,      Manufacturing,162612
9000,Connecticut,600,      Wholesale trade,63118
9000,Connecticut,700,      Retail trade,198700
9000,Connecticut,800,      Transportation and warehousing,90303
9000,Connecticut,900,      Information,36485
9000,Connecticut,1000,      Finance and insurance,200369
9000,Connecticut,1100,      Real estate and rental and leasing,124633
9000,Connecticut,1200,"      Professional, scientific, and technical services",159097
9000,Connecticut,1300,      Management of companies and enterprises,36793
9000,Connecticut,1400,      Administrative and support and waste management and remediation services,114589
9000,Connecticut,1500,      Educational services,87678
9000,Connecticut,1600,      Health care and social assistance,304578
9000,Connecticut,1700,"      Arts, entertainment, and recreation",46267
9000,Connecticut,1800,      Accommodation and food services,112240
9000,Connecticut,1900,      Other services (except government and government enterprises),109013
9000,Connecticut,2000,    Government and government enterprises,237751
9000,Connecticut,2001,      Federal civilian,19233
9000,Connecticut,2002,      Military,11989
9000,Connecticut,2010,      State and local,206529
9000,Connecticut,2011,        State government,72929
9000,Connecticut,2012,        Local government,133600
10000,Delaware,,Employment by place of work,
10000,Delaware,10,Total employment (number of jobs),592045
10000,Delaware,,By type,
10000,Delaware,20,  Wage and salary employment,451844
10000,Delaware,40,  Proprietors employment,140201
10000,Delaware,50,    Farm proprietors employment,1883
10000,Delaware,60,Nonfarm proprietors employment 2/,138318
10000,Delaware,,By industry,
10000,Delaware,70,  Farm employment,3081
10000,Delaware,80,  Nonfarm employment,588964
10000,Delaware,90,    Private nonfarm employment,514502
10000,Delaware,100,"      Forestry, fishing, and related activities",1148
10000,Delaware,200,"      Mining, quarrying, and oil and gas extraction",278
10000,Delaware,300,      Utilities,2171
10000,Delaware,400,      Construction,33503
10000,Delaware,500,      Manufacturing,27161
10000,Delaware,600,      Wholesale trade,12510
10000,Delaware,700,      Retail trade,58072
10000,Delaware,800,      Transportation and warehousing,29481
10000,Delaware,900,      Information,5464
10000,Delaware,1000,      Finance and insurance,65926
10000,Delaware,1100,      Real estate and rental and leasing,31392
10000,Delaware,1200,"      Professional, scientific, and technical services",37937
10000,Delaware,1300,      Management of companies and enterprises,11283
10000,Delaware,1400,      Administrative and support and waste management and remediation services,35439
10000,Delaware,1500,      Educational services,8721
10000,Delaware,1600,      Health care and social assistance,77329
10000,Delaware,1700,"      Arts, entertainment, and recreation",12853
10000,Delaware,1800,      Accommodation and food services,37221
10000,Delaware,1900,      Other services (except government and government enterprises),26613
10000,Delaware,2000,    Government and government enterprises,74462
10000,Delaware,2001,      Federal civilian,6046
10000,Delaware,2002,      Military,8967
10000,Delaware,2010,      State and local,59449
10000,Delaware,2011,        State government,32243
10000,Delaware,2012,        Local government,27206
11000,District of Columbia,,Employment by place of work,
11000,District of Columbia,10,Total employment (number of jobs),865878
11000,District of Columbia,,By type,
11000,District of Columbia,20,  Wage and salary employment,753744
11000,District of Columbia,40,  Proprietors employment,112134
11000,District of Columbia,50,    Farm proprietors employment,0
11000,District of Columbia,60,Nonfarm proprietors employment 2/,112134
11000,District of Columbia,,By industry,
11000,District of Columbia,70,  Farm employment,0
11000,District of Columbia,80,  Nonfarm employment,865878
11000,District of Columbia,90,    Private nonfarm employment,615386
11000,District of Columbia,100,"      Forestry, fishing, and related activities",109
11000,District of Columbia,200,"      Mining, quarrying, and oil and gas extraction",231
11000,District of Columbia,300,      Utilities,
11000,District of Columbia,400,      Construction,18388
11000,District of Columbia,500,      Manufacturing,
11000,District of Columbia,600,      Wholesale trade,5513
11000,District of Columbia,700,      Retail trade,24191
11000,District of Columbia,800,      Transportation and warehousing,12814
11000,District of Columbia,900,      Information,22143
11000,District of Columbia,1000,      Finance and insurance,29942
11000,District of Columbia,1100,      Real estate and rental and leasing,31664
11000,District of Columbia,1200,"      Professional, scientific, and technical services",146416
11000,District of Columbia,1300,      Management of companies and enterprises,3842
11000,District of Columbia,1400,      Administrative and support and waste management and remediation services,47373
11000,District of Columbia,1500,      Educational services,55138
11000,District of Columbia,1600,      Health care and social assistance,73741
11000,District of Columbia,1700,"      Arts, entertainment, and recreation",14040
11000,District of Columbia,1800,      Accommodation and food services,44564
11000,District of Columbia,1900,      Other services (except government and government enterprises),81212
11000,District of Columbia,2000,    Government and government enterprises,250492
11000,District of Columbia,2001,      Federal civilian,193588
11000,District of Columbia,2002,      Military,14041
11000,District of Columbia,2010,      State and local,42863
11000,District of Columbia,2011,        State government,0
11000,District of Columbia,2012,        Local government,42863
12000,Florida,,Employment by place of work,
12000,Florida,10,Total employment (number of jobs),12720098
12000,Florida,,By type,
12000,Florida,20,  Wage and salary employment,8902524
12000,Florida,40,  Proprietors employment,3817574
12000,Florida,50,    Farm proprietors employment,38760
12000,Florida,60,Nonfarm proprietors employment 2/,3778814
12000,Florida,,By industry,
12000,Florida,70,  Farm employment,80821
12000,Florida,80,  Nonfarm employment,12639277
12000,Florida,90,    Private nonfarm employment,11438463
12000,Florida,100,"      Forestry, fishing, and related activities",61222
12000,Florida,200,"      Mining, quarrying, and oil and gas extraction",15923
12000,Florida,300,      Utilities,26375
12000,Florida,400,      Construction,839560
12000,Florida,500,      Manufacturing,426078
12000,Florida,600,      Wholesale trade,397959
12000,Florida,700,      Retail trade,1290220
12000,Florida,800,      Transportation and warehousing,669663
12000,Florida,900,      Information,175093
12000,Florida,1000,      Finance and insurance,860997
12000,Florida,1100,      Real estate and rental and leasing,858957
12000,Florida,1200,"      Professional, scientific, and technical services",959501
12000,Florida,1300,      Management of companies and enterprises,156031
12000,Florida,1400,      Administrative and support and waste management and remediation services,999823
12000,Florida,1500,      Educational services,233934
12000,Florida,1600,      Health care and social assistance,1390000
12000,Florida,1700,"      Arts, entertainment, and recreation",322207
12000,Florida,1800,      Accommodation and food services,916096
12000,Florida,1900,      Other services (except government and government enterprises),838824
12000,Florida,2000,    Government and government enterprises,1200814
12000,Florida,2001,      Federal civilian,150008
12000,Florida,2002,      Military,101380
12000,Florida,2010,      State and local,949426
12000,Florida,2011,        State government,252895
12000,Florida,2012,        Local government,696531
13000,Georgia,,Employment by place of work,
13000,Georgia,10,Total employment (number of jobs),6326942
13000,Georgia,,By type,
13000,Georgia,20,  Wage and salary employment,4604892
13000,Georgia,40,  Proprietors employment,1722050
13000,Georgia,50,    Farm proprietors employment,34880
13000,Georgia,60,Nonfarm proprietors employment 2/,1687170
13000,Georgia,,By industry,
13000,Georgia,70,  Farm employment,56389
13000,Georgia,80,  Nonfarm employment,6270553
13000,Georgia,90,    Private nonfarm employment,5492867
13000,Georgia,100,"      Forestry, fishing, and related activities",25619
13000,Georgia,200,"      Mining, quarrying, and oil and gas extraction",8642
13000,Georgia,300,      Utilities,21092
13000,Georgia,400,      Construction,370467
13000,Georgia,500,      Manufacturing,411486
13000,Georgia,600,      Wholesale trade,228948
13000,Georgia,700,      Retail trade,609381
13000,Georgia,800,      Transportation and warehousing,364251
13000,Georgia,900,      Information,132460
13000,Georgia,1000,      Finance and insurance,329294
13000,Georgia,1100,      Real estate and rental and leasing,301723
13000,Georgia,1200,"      Professional, scientific, and technical services",445912
13000,Georgia,1300,      Management of companies and enterprises,98182
13000,Georgia,1400,      Administrative and support and waste management and remediation services,504615
13000,Georgia,1500,      Educational services,123382
13000,Georgia,1600,      Health care and social assistance,584064
13000,Georgia,1700,"      Arts, entertainment, and recreation",114154
13000,Georgia,1800,      Accommodation and food services,424938
13000,Georgia,1900,      Other services (except government and government enterprises),394257
13000,Georgia,2000,    Government and government enterprises,777686
13000,Georgia,2001,      Federal civilian,107617
13000,Georgia,2002,      Military,96112
13000,Georgia,2010,      State and local,573957
13000,Georgia,2011,        State government,171456
13000,Georgia,2012,        Local government,402501
15000,Hawaii,,Employment by place of work,
15000,Hawaii,10,Total employment (number of jobs),817748
15000,Hawaii,,By type,
15000,Hawaii,20,  Wage and salary employment,626383
15000,Hawaii,40,  Proprietors employment,191365
15000,Hawaii,50,    Farm proprietors employment,5936
15000,Hawaii,60,Nonfarm proprietors employment 2/,185429
15000,Hawaii,,By industry,
15000,Hawaii,70,  Farm employment,10425
15000,Hawaii,80,  Nonfarm employment,807323
15000,Hawaii,90,    Private nonfarm employment,635745
15000,Hawaii,100,"      Forestry, fishing, and related activities",3822
15000,Hawaii,200,"      Mining, quarrying, and oil and gas extraction",628
15000,Hawaii,300,      Utilities,4107
15000,Hawaii,400,      Construction,48648
15000,Hawaii,500,      Manufacturing,15803
15000,Hawaii,600,      Wholesale trade,19836
15000,Hawaii,700,      Retail trade,80652
15000,Hawaii,800,      Transportation and warehousing,35726
15000,Hawaii,900,      Information,8982
15000,Hawaii,1000,      Finance and insurance,31636
15000,Hawaii,1100,      Real estate and rental and leasing,42273
15000,Hawaii,1200,"      Professional, scientific, and technical services",45197
15000,Hawaii,1300,      Management of companies and enterprises,9058
15000,Hawaii,1400,      Administrative and support and waste management and remediation services,48431
15000,Hawaii,1500,      Educational services,18154
15000,Hawaii,1600,      Health care and social assistance,83233
15000,Hawaii,1700,"      Arts, entertainment, and recreation",18102
15000,Hawaii,1800,      Accommodation and food services,75795
15000,Hawaii,1900,      Other services (except government and government enterprises),45662
15000,Hawaii,2000,    Government and government enterprises,171578
15000,Hawaii,2001,      Federal civilian,35125
15000,Hawaii,2002,      Military,50798
15000,Hawaii,2010,      State and local,85655
15000,Hawaii,2011,        State government,66547
15000,Hawaii,2012,        Local government,19108
16000,Idaho,,Employment by place of work,
16000,Idaho,10,Total employment (number of jobs),1078122
16000,Idaho,,By type,
16000,Idaho,20,  Wage and salary employment,791873
16000,Idaho,40,  Proprietors employment,286249
16000,Idaho,50,    Farm proprietors employment,22530
16000,Idaho,60,Nonfarm proprietors employment 2/,263719
16000,Idaho,,By industry,
16000,Idaho,70,  Farm employment,40813
16000,Idaho,80,  Nonfarm employment,1037309
16000,Idaho,90,    Private nonfarm employment,903493
16000,Idaho,100,"      Forestry, fishing, and related activities",13291
16000,Idaho,200,"      Mining, quarrying, and oil and gas extraction",4380
16000,Idaho,300,      Utilities,3228
16000,Idaho,400,      Construction,82330
16000,Idaho,500,      Manufacturing,74577
16000,Idaho,600,      Wholesale trade,34270
16000,Idaho,700,      Retail trade,113136
16000,Idaho,800,      Transportation and warehousing,39464
16000,Idaho,900,      Information,10442
16000,Idaho,1000,      Finance and insurance,47741
16000,Idaho,1100,      Real estate and rental and leasing,59708
16000,Idaho,1200,"      Professional, scientific, and technical services",68270
16000,Idaho,1300,      Management of companies and enterprises,9546
16000,Idaho,1400,      Administrative and support and waste management and remediation services,63198
16000,Idaho,1500,      Educational services,22261
16000,Idaho,1600,      Health care and social assistance,113879
16000,Idaho,1700,"      Arts, entertainment, and recreation",22157
16000,Idaho,1800,      Accommodation and food services,70575
16000,Idaho,1900,      Other services (except government and government enterprises),51040
16000,Idaho,2000,    Government and government enterprises,133816
16000,Idaho,2001,      Federal civilian,13719
16000,Idaho,2002,      Military,9319
16000,Idaho,2010,      State and local,110778
16000,Idaho,2011,        State government,30813
16000,Idaho,2012,        Local government,79965
17000,Illinois,,Employment by place of work,
17000,Illinois,10,Total employment (number of jobs),7519502
17000,Illinois,,By type,
17000,Illinois,20,  Wage and salary employment,5849130
17000,Illinois,40,  Proprietors employment,1670372
17000,Illinois,50,    Farm proprietors employment,58497
17000,Illinois,60,Nonfarm proprietors employment 2/,1611875
17000,Illinois,,By industry,
17000,Illinois,70,  Farm employment,73908
17000,Illinois,80,  Nonfarm employment,7445594
17000,Illinois,90,    Private nonfarm employment,6610032
17000,Illinois,100,"      Forestry, fishing, and related activities",12674
17000,Illinois,200,"      Mining, quarrying, and oil and gas extraction",16243
17000,Illinois,300,      Utilities,24806
17000,Illinois,400,      Construction,331794
17000,Illinois,500,      Manufacturing,575259
17000,Illinois,600,      Wholesale trade,301515
17000,Illinois,700,      Retail trade,681843
17000,Illinois,800,      Transportation and warehousing,478181
17000,Illinois,900,      Information,105565
17000,Illinois,1000,      Finance and insurance,528004
17000,Illinois,1100,      Real estate and rental and leasing,323486
17000,Illinois,1200,"      Professional, scientific, and technical services",575701
17000,Illinois,1300,      Management of companies and enterprises,95622
17000,Illinois,1400,      Administrative and support and waste management and remediation services,502433
17000,Illinois,1500,      Educational services,197713
17000,Illinois,1600,      Health care and social assistance,861012
17000,Illinois,1700,"      Arts, entertainment, and recreation",136429
17000,Illinois,1800,      Accommodation and food services,434912
17000,Illinois,1900,      Other services (except government and government enterprises),426840
17000,Illinois,2000,    Government and government enterprises,835562
17000,Illinois,2001,      Federal civilian,82030
17000,Illinois,2002,      Military,47415
17000,Illinois,2010,      State and local,706117
17000,Illinois,2011,        State government,147649
17000,Illinois,2012,        Local government,558468
18000,Indiana,,Employment by place of work,
18000,Indiana,10,Total employment (number of jobs),3843507
18000,Indiana,,By type,
18000,Indiana,20,  Wage and salary employment,3084225
18000,Indiana,40,  Proprietors employment,759282
18000,Indiana,50,    Farm proprietors employment,48559
18000,Indiana,60,Nonfarm proprietors employment 2/,710723
18000,Indiana,,By industry,
18000,Indiana,70,  Farm employment,60773
18000,Indiana,80,  Nonfarm employment,3782734
18000,Indiana,90,    Private nonfarm employment,3345591
18000,Indiana,100,"      Forestry, fishing, and related activities",
18000,Indiana,200,"      Mining, quarrying, and oil and gas extraction",
18000,Indiana,300,      Utilities,14351
18000,Indiana,400,      Construction,217325
18000,Indiana,500,      Manufacturing,519497
18000,Indiana,600,      Wholesale trade,127810
18000,Indiana,700,      Retail trade,374960
18000,Indiana,800,      Transportation and warehousing,212684
18000,Indiana,900,      Information,34389
18000,Indiana,1000,      Finance and insurance,162865
18000,Indiana,1100,      Real estate and rental and leasing,154271
18000,Indiana,1200,"      Professional, scientific, and technical services",188810
18000,Indiana,1300,      Management of companies and enterprises,38346
18000,Indiana,1400,      Administrative and support and waste management and remediation services,221101
18000,Indiana,1500,      Educational services,80390
18000,Indiana,1600,      Health care and social assistance,448197
18000,Indiana,1700,"      Arts, entertainment, and recreation",63964
18000,Indiana,1800,      Accommodation and food services,248724
18000,Indiana,1900,      Other services (except government and government enterprises),218389
18000,Indiana,2000,    Government and government enterprises,437143
18000,Indiana,2001,      Federal civilian,41319
18000,Indiana,2002,      Military,19192
18000,Indiana,2010,      State and local,376632
18000,Indiana,2011,        State government,118996
18000,Indiana,2012,        Local government,257636
19000,Iowa,,Employment by place of work,
19000,Iowa,10,Total employment (number of jobs),2010409
19000,Iowa,,By type,
19000,Iowa,20,  Wage and salary employment,1566087
19000,Iowa,40,  Proprietors employment,444322
19000,Iowa,50,    Farm proprietors employment,69189
19000,Iowa,60,Nonfarm proprietors employment 2/,375133
19000,Iowa,,By industry,
19000,Iowa,70,  Farm employment,88223
19000,Iowa,80,  Nonfarm employment,1922186
19000,Iowa,90,    Private nonfarm employment,1658052
19000,Iowa,100,"      Forestry, fishing, and related activities",16306
19000,Iowa,200,"      Mining, quarrying, and oil and gas extraction",3407
19000,Iowa,300,      Utilities,6487
19000,Iowa,400,      Construction,118621
19000,Iowa,500,      Manufacturing,223268
19000,Iowa,600,      Wholesale trade,69876
19000,Iowa,700,      Retail trade,208996
19000,Iowa,800,      Transportation and warehousing,87016
19000,Iowa,900,      Information,23408
19000,Iowa,1000,      Finance and insurance,138210
19000,Iowa,1100,      Real estate and rental and leasing,77900
19000,Iowa,1200,"      Professional, scientific, and technical services",81330
19000,Iowa,1300,      Management of companies and enterprises,23174
19000,Iowa,1400,      Administrative and support and waste management and remediation services,82552
19000,Iowa,1500,      Educational services,41395
19000,Iowa,1600,      Health care and social assistance,211403
19000,Iowa,1700,"      Arts, entertainment, and recreation",31527
19000,Iowa,1800,      Accommodation and food services,112325
