"","StateYear","State","Year","CO2 Emissions (Mmt)","TotalNumberofInvestments","TotalAmountofAssistance","BDFDB","BDPRP","BFFDB","BFPRP","CLPRB","CLPRK","CLPRP","COPRK","EMFDB","ENPRP","GETCB","HYTCB","NCPRB","NGMPB","NGMPK","NGMPP","NUETB","PAPRB","PAPRP","REPRB","SOTCB","TEPRB","TETCB","WDEXB","WDPRB","WDTCB","WSTCB","WWPRB","WYTCB"
"29","ND-2020","North Dakota",2020,54.251280292474,18,686913,10767,1982,80535,14262,364262,13.778,26438,5.691,69767,12280,978,21497,142096,1211327,1.373,882443,0,2474953,434889,224409,12,4274952,625886,0,784,784,995,1779,119610
"30","NE-2020","Nebraska",2020,46.5092726305239,93,9134015,0,0,243518,42863,0,0,0,5.691,243518,42863,1212,12195,94055,375,1.067,351,64621,9527,1674,342292,679,416814,863654,0,2764,2764,1955,4719,79969
"31","NH-2020","New Hampshire",2020,12.4472056438363,33,996776,318,59,318,59,0,0,0,0,0,0,29,10776,16893,0,0,0,103012,0,0,45710,1484,148723,295548,0,24914,24914,3584,28499,4605
"32","NJ-2020","New Jersey",2020,83.8237942245427,10,428543,0,0,0,0,0,0,0,0,0,0,466,135,36005,0,0,0,279201,0,0,51878,35229,331078,1893854,0,3090,3090,12782,15872,176
"33","NM-2020","New Mexico",2020,45.2135590129815,19,48503359,0,0,0,0,191349,18.67,10249,5.691,0,0,835,1778,84743,2277937,1.169,1948168,0,2107958,370402,96447,18752,4673691,699738,0,11351,11351,353,11704,63378
"34","NV-2020","Nevada",2020,36.2052310706298,4,53672,0,0,0,0,0,0,0,5.691,0,0,34893,16874,111902,12,1.038,12,0,1115,196,115274,57286,116402,710083,0,2559,2559,813,3372,2849
"35","NY-2020","New York",2020,143.376672865751,78,39346669,0,0,9962,1753,0,0,0,5.691,9962,1753,1185,259241,328916,10012,1.033,9692,401287,1565,275,426161,28821,839025,3354222,0,56956,56956,30327,87283,39669
"36","OH-2020","Ohio",2020,185.631952982359,54,3038155,9219,1697,81513,14422,88255,24.607,3587,5.691,72295,12725,3435,3283,30594,2611802,1.098,2378902,190243,135554,23819,161090,3793,3186943,3404480,0,35686,35686,13297,48983,20083
"37","OK-2020","Oklahoma",2020,83.7294351468626,6,560909,4814,886,4814,886,16,20.36,1,5.691,0,0,24,25042,283986,3244434,1.164,2786366,0,977372,171740,323741,845,4545564,1579183,0,29058,29058,5884,34942,258075
"38","OR-2020","Oregon",2020,37.4817295514972,55,25808865,1442,265,5929,1055,0,0,0,0,4487,790,2917,280040,373076,337,1.053,320,0,0,0,453528,13116,453865,982979,0,68864,68864,5659,74523,77003
"39","PA-2020","Pennsylvania",2020,193.239353150192,50,2136747,3709,683,16714,2972,908798,25.018,36326,5.691,13006,2289,2162,23445,65641,7563593,1.058,7148295,799036,31483,5532,189149,7151,9492059,3412995,0,73021,73021,33772,106794,32883
"40","RI-2020","Rhode Island",2020,9.82637385572027,14,635939,557,103,557,103,0,0,0,0,0,0,57,31,6346,0,0,0,0,0,0,11420,4375,11420,175780,0,1591,1591,2925,4516,1884
"41","SC-2020","South Carolina",2020,63.4994527857016,86,145497267,0,0,0,0,0,0,0,0,0,0,648,33888,52929,0,0,0,571711,0,0,160701,18393,732412,1533340,8821,103690,94870,4081,107772,0
"42","SD-2020","South Dakota",2020,14.9425092444635,26,6976448,0,0,157168,27664,0,0,0,5.691,157168,27664,1868,51152,101696,439,1.078,407,0,5958,1047,261997,38,268394,396626,0,2945,2945,187,3132,48639
"43","TN-2020","Tennessee",2020,83.3031919098366,37,1536871,4560,839,27471,4872,2377,25.871,92,5.691,22911,4033,213,118018,122230,2866,1.035,2770,383098,939,165,202041,3656,591321,2039089,1732,48046,46314,4294,52340,344
"44","TX-2020","Texas",2020,623.962743412984,60,39546994,27279,5021,58807,10570,262510,13.337,19682,5.691,31528,5549,2478,9469,912590,11464912,1.228,9336110,432703,10109771,1776449,1059236,89658,23329131,13480760,7955,62425,54470,25413,87839,810985
"45","US-2020","United States",2020,NA,NA,NA,234744,43207,2120536,375135,10723138,20.027,535434,5.691,1885792,331928,202900,2502708,6882576,41624947,1.15,36202446,8247915,23501332,4129561,11613541,1212237,95710873,92862342,106034,2170695,2064661,439734,2610429,2964731
"46","UT-2020","Utah",2020,57.3780088293526,32,736194,0,0,0,0,296168,22.5,13163,5.691,0,0,4113,7165,45727,265927,1.099,241989,0,176142,30951,50836,27408,789072,829039,0,4011,4011,1097,5109,7041
"47","VA-2020","Virginia",2020,98.1660473290193,32,2039514,310,57,495,90,251899,25.633,9827,5.691,184,32,1701,17811,33962,107908,1.049,102824,314722,28,5,147212,14450,821769,2273099,9398,94244,84845,18512,112755,0
"48","VT-2020","Vermont",2020,5.42012120264001,23,2405926,0,0,0,0,0,0,0,0,0,0,29,9911,16528,0,0,0,0,0,0,37481,3224,37481,125702,0,20237,20237,716,20953,3365
"49","WA-2020","Washington",2020,68.3722510018769,68,2509973,9606,1768,9606,1768,0,0,0,0,0,0,1136,670342,755489,0,0,0,98437,0,0,871240,2724,969677,1779399,0,98371,98371,7774,106145,81287
"50","WI-2020","Wisconsin",2020,87.037383912266,101,9860324,4037,743,66475,11733,0,0,0,0,62437,10990,615,24457,42739,0,0,0,102032,0,0,200946,2197,302978,1708131,0,83180,83180,8551,91731,15470
"51","WV-2020","West Virginia",2020,76.9244779712639,44,1052654,0,0,0,0,1748361,25.948,67380,5.691,0,0,32,13967,30837,3121923,1.204,2592319,0,108465,19059,41440,188,5020189,803921,0,10354,10354,250,10604,16649
"52","WY-2020","Wyoming",2020,55.6211834812767,11,229763,0,0,0,0,3822600,17.49,218556,5.691,0,0,663,9527,60120,1489916,1.141,1306368,0,507017,89091,64877,1566,5884410,504390,0,4757,4757,0,4757,48362
