"State","Year","CO2 Emissions (Mmt)","TotalNumberofInvestments","TotalAmountofAssistance","BDFDB","BDPRP","BFFDB","BFPRP","CLPRB","CLPRK","CLPRP","COPRK","EMFDB","ENPRP","GETCB","HYTCB","NCPRB","NGMPB","NGMPK","NGMPP","NUETB","PAPRB","PAPRP","REPRB","SOTCB","TEPRB","TETCB","WDEXB","WDPRB","WDTCB","WSTCB","WWPRB","WYTCB","Total employment (number of jobs)","Wage and salary employment","Proprietors employment","Farm proprietors employment","Nonfarm proprietors employment 2/","Farm employment","Nonfarm employment","Private nonfarm employment","Forestry, fishing, and related activities.x","Mining, quarrying, and oil and gas extraction.x","Utilities.x","Construction.x","Manufacturing.x","Wholesale trade.x","Retail trade.x","Transportation and warehousing.x","Information.x","Finance and insurance.x","Real estate and rental and leasing.x","Professional, scientific, and technical services.x","Management of companies and enterprises.x","Administrative and support and waste management and remediation services.x","Educational services.x","Health care and social assistance.x","Arts, entertainment, and recreation.x","Accommodation and food services.x","Other services (except government and government enterprises).x","Government and government enterprises.x","Federal civilian.x","Military.x","State and local.x","State government","Local government","All industry total","Private industries","Agriculture, forestry, fishing and hunting","Farms","Forestry, fishing, and related activities.y","Mining, quarrying, and oil and gas extraction.y","Oil and gas extraction","Mining (except oil and gas)","Support activities for mining","Utilities.y","Construction.y","Manufacturing.y","Durable goods manufacturing","Wood product manufacturing","Nonmetallic mineral product manufacturing","Primary metal manufacturing","Fabricated metal product manufacturing","Machinery manufacturing","Computer and electronic product manufacturing","Electrical equipment, appliance, and component manufacturing","Motor vehicles, bodies and trailers, and parts manufacturing","Other transportation equipment manufacturing","Furniture and related product manufacturing","Miscellaneous manufacturing","Nondurable goods manufacturing","Food and beverage and tobacco product manufacturing","Textile mills and textile product mills","Apparel, leather, and allied product manufacturing","Paper manufacturing","Printing and related support activities","Petroleum and coal products manufacturing","Chemical manufacturing","Plastics and rubber products manufacturing","Wholesale trade.y","Retail trade.y","Transportation and warehousing.y","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Information.y","Publishing industries (except Internet)","Motion picture and sound recording industries","Broadcasting (except Internet) and telecommunications","Data processing, hosting, and other information services","Finance, insurance, real estate, rental, and leasing","Finance and insurance.y","Monetary Authorities- central bank, credit intermediation, and related services","Securities, commodity contracts, and other financial investments and related activities","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Real estate and rental and leasing.y","Real estate","Rental and leasing services and lessors of nonfinancial intangible assets","Professional and business services","Professional, scientific, and technical services.y","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises.y","Administrative and support and waste management and remediation services.y","Administrative and support services","Waste management and remediation services","Educational services, health care, and social assistance","Educational services.y","Health care and social assistance.y","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation.y","Performing arts, spectator sports, museums, and related activities","Amusement, gambling, and recreation industries","Accommodation and food services.y","Accommodation","Food services and drinking places","Other services (except government and government enterprises).y","Government and government enterprises.y","Federal civilian.y","Military.y","State and local.y","Natural resources and mining","Trade","Transportation and utilities","Manufacturing and information","Private goods-producing industries 2/","Private services-providing industries 3/","Region","Party","Representative","Senator"
"Missouri",2016,119.015707932667,520,10631411,21036,3872,58928,10518,5125,21.912,234,5.722,37892,6646,352,11711,24297,1,1.024,1,98630,704,123,105876,1876,210336,1781656,0,20211,20211,2441,22652,10357,3700663,2925143,775520,88012,687508,98263,3602400,3131630,13339,9927,12604,192178,277831,130251,386632,129901,57998,192951,155317,216711,69708,207167,82452,441217,74325,273682,207439,470770,58422,34717,377631,104227,273404,297752.6,261891.6,3303.5,2926.3,377.2,736.2,2.2,715.1,19,5290.4,10744,37008.9,19572,596.7,864.6,698.1,2796.2,2739.4,2052.2,1677.9,4476.1,2121.5,459.8,1089.5,17436.9,6993.3,142.7,146.6,1197.8,1253.7,468.1,5689.5,1545.1,20476.1,17945.4,10133.3,1202.3,1717.7,112.9,3782.9,481.8,82.7,1751.5,1001.5,11659,1704.6,322.5,6449.6,3182.3,56716.6,23104.7,10044.9,3462.9,9512.2,84.7,33611.9,28688,4923.9,37950.2,20526.5,4290.4,4995.2,11240.9,8714,8709.7,8070.6,639.2,30608.6,4052.1,26556.5,10852.1,10607.7,2820.4,2276.3,12354.9,3774.1,2390,1384,8580.8,1749.8,6831,6964.5,35861.1,7162,2524.4,26174.7,4039.7,38421.5,15423.7,48667.8,51792.6,210099,"North Central",0,0.75,0.666666666666667
"Mississippi",2016,62.3146973650489,608,96309030,8006,1474,14736,2654,32349,11.272,2870,5.722,6731,1181,958,0,1031,50418,1.039,48504,61680,116649,20386,78133,73,339228,1071689,9243,60285,51042,2081,62366,0,1579873,1209685,370188,30740,339448,39107,1540766,1267270,15176,15987,8643,83704,149160,38716,172497,61029,15338,56964,51692,56402,13338,100392,25251,155773,21340,131908,93960,273496,25386,27252,220858,65932,154926,106492.9,87460.7,1939.5,1386.5,553,639.3,354.9,107.3,177.1,3147,4171.9,16498.4,10066.8,1051,392.8,573.7,851.9,1319,131.7,810.9,2207,1469.8,1073.1,186,6431.6,1635.6,345,91.9,640.5,195.5,1462.9,1265.9,794.4,5594,8566.8,3643.6,79.5,356.4,199.9,1478.2,64.6,199,603.3,662.8,2451.3,265.6,82.5,1896,207.1,16487.2,5299.3,2777.2,193.3,2274,54.7,11187.9,10059.5,1128.5,7673.3,3495.6,1007.6,474.3,2013.7,1254.6,2923.1,2657.8,265.3,9205.3,893.3,8312,4554.6,2101.7,933.2,722.4,4919.9,655.5,108.9,546.7,4264.3,1543.8,2720.5,2523.4,19032.2,3387.9,1892,13752.4,2578.7,14160.8,6790.5,18949.7,23249,64211.6,"South",1,0.75,1
"Montana",2016,31.1379517541327,90,2257495,3,1,3,1,572787,17.714,32336,5.722,0,0,337,93082,113287,52130,1.088,47921,0,132625,23178,128095,110,885637,406422,0,14414,14414,392,14805,19758,667815,484135,183680,23323,160357,30277,637538,541330,7898,12803,3284,46329,24264,19362,75153,19614,8285,25481,36026,37574,2777,24740,8940,75198,20574,57997,35031,96208,13301,7956,74951,27264,47687,45680.3,38590.3,1812.2,1555.4,256.8,1562.5,323.8,1090,148.7,1092.5,2649.1,2404.5,1125.6,365.4,195,17.9,190.3,81.2,55,16.8,25.4,13.2,33.8,131.7,1278.9,314,9.1,4.3,1.9,77.1,723.8,120.8,27.9,2599.2,2992.3,2019.9,150.8,893.1,0.8,536.8,56,102.5,267.7,12.3,1092.2,210.9,78,678.1,125.2,8618,2281.3,1260.3,200,817.5,3.5,6336.7,5681.3,655.4,3438.7,2269.5,396.4,427.9,1445.2,215.9,953.3,837.2,116,4917.7,259.3,4658.4,1809.5,2093.5,473,282.3,2380.6,585.8,150.5,435.3,1794.8,677.2,1117.6,1011,7090.1,1638.5,486.9,4964.6,3374.7,5591.6,3112.4,3496.7,8428.2,30162.1,"West",0,1,0.5
"North Carolina",2016,124.895787963307,156,190472938,425,78,425,78,0,0,0,0,0,0,967,40779,75202,0,0,0,447500,0,0,199520,33397,647020,2619589,17887,114422,96534,9472,123894,58,5829015,4589367,1239648,39709,1199939,66997,5762018,4906461,25716,9087,16314,334140,489135,200091,599588,179176,94289,260424,253568,351052,91473,404165,140766,559963,127396,439841,330277,855557,71680,128507,655370,211385,443985,520356.6,450944,4394.7,3498.7,896,449.6,8,420.1,21.4,7954.8,18791,96700.9,40993.6,1688.3,1781.3,802.8,3964.1,4909.8,10234.5,3698.7,3461.8,6289.2,2389.1,1774.1,55707.3,19823.8,2599.7,306.1,2119.1,1088.6,285.7,25698.3,3786,30376.4,27237.2,11737.1,2895.3,388.8,15.4,4087.7,481.7,77.6,2359.9,1430.8,19394.4,6127.8,455.4,8684.9,4126.3,101665.6,43902.6,29049.7,4743.5,10059.5,49.9,57763,53212.3,4550.7,60697.1,31649.6,3837,7625.9,20186.7,12713,16334.4,15386.1,948.3,41710.3,7329.1,34381.2,18519.7,9301.1,3757.9,2802.6,19345.2,4412.3,2731.1,1681.2,14932.9,3008.4,11924.5,10489.7,69412.6,9888.4,11594.1,47930.1,4844.3,57613.5,19691.9,116095.4,120336.2,330607.8,"South",0,0.75,1
"North Dakota",2016,54.9320611120236,24,502584,9254,1703,65607,11587,399856,14.219,28121,5.722,56353,9884,978,17652,94079,766865,1.441,531997,0,2161886,377820,162635,7,3491242,583657,0,1021,1021,1928,2949,75443,576908,450702,126206,23817,102389,28666,548242,459116,4788,23100,4025,41093,26287,25673,60343,22843,7486,27372,23805,23144,5824,17858,6497,66041,8168,37518,27251,89126,9433,11610,68083,24874,43209,50792.3,44907.6,2781.1,2610.2,171,4008.4,1782.5,458.8,1767.1,1335.8,3747.6,3469.2,2024.7,154.9,219.9,65.4,136.1,1019.9,134.9,10,78.2,121,40.5,43.8,1444.5,800.7,17.2,4.5,14.1,39.1,206.5,195,167.4,4520.7,3020.5,2560.4,45.4,610.4,8.9,1236.5,70.5,259.3,297.7,31.5,1332,557.3,22.7,654.6,97.5,8479.9,2499.4,1120.6,164.1,1202.3,12.3,5980.5,4803.7,1176.8,3101.2,1734.2,214.9,253.5,1265.7,555.7,811.4,717.2,94.2,4276.9,183.1,4093.9,1564.1,1583.6,672.8,273.3,1332.2,156.2,47.8,108.4,1176,321.4,854.6,941.6,5884.7,457.4,801,4626.2,6789.5,7541.2,3896.2,4801.2,14006.3,30901.3,"North Central",1,1,0.666666666666667
"Nebraska",2016,48.3509098770052,199,4011050,3464,638,282138,49516,0,0,0,5.722,278674,48878,1212,7906,44275,557,1.059,526,97798,12560,2195,330919,90,441834,870370,0,2843,2843,1663,4506,35067,1310866,1036443,274423,39852,234571,54337,1256529,1080869,10919,3633,1417,74749,100642,44640,136161,62807,21036,83388,47707,62763,22570,65938,23718,143635,24528,82078,68540,175660,16772,12658,146230,34491,111739,116879.2,102063.9,6889.6,6559.7,329.9,150.7,6.5,135.3,8.8,3659.8,3237.9,12370.7,5293.6,149,301.9,172.5,764.9,1085.3,474.1,256.2,589.6,106.8,126.4,1267.1,7077.1,4025.8,50.5,43.3,132.4,229.7,6.2,2084.5,504.6,7480.4,6237.8,9217.2,161.2,3695.6,NA,2438.5,89.6,1961.8,539.6,331,3767.7,842.3,37.7,1561.8,1325.9,23216,11754.9,2810.1,658.5,8267.3,19.1,11461,10630.6,830.4,10740.9,4922,930.8,1262,2729.2,2819.4,2999.6,2749.8,249.8,9537,994.3,8542.7,3898.1,2658.2,1269.6,716.8,3233.9,634.5,274.8,359.8,2599.3,454.6,2144.7,2324.4,14815.3,1765.5,944,12105.9,7040.3,13718.2,12877,16138.4,22648.9,79415,"North Central",1,0.8,1
"New Hampshire",2016,13.8115103206176,40,3111505,399,73,399,73,0,0,0,0,0,0,29,10574,15141,0,0,0,112551,0,0,56290,547,168841,307290,0,36335,36335,4415,40750,3991,873134,676236,196898,3961,192937,5509,867625,773325,3200,1737,2546,52879,73554,30777,112855,18908,15232,45256,38713,59623,9882,47190,30734,100758,22303,63259,43919,94300,7657,4526,82117,25401,56716,78509,70012.1,204.6,109.3,95.4,51.9,0,44.4,7.5,1273.3,2369.1,8887.5,6774.2,177.3,274.3,237.9,1381.8,863.3,2178.1,799,116.2,170,59.1,517.2,2113.3,617.4,145.2,66.8,97.5,224.9,72.4,416.9,472.2,5193.1,5212.5,1211.6,146.3,6.7,2.5,315.2,176.3,1.7,311.3,251.6,3232.3,1341.9,114.2,1259.9,516.2,18332.8,7041.7,1132.2,1517.8,4377.9,13.7,11291.1,10536.4,754.7,9432.7,5564.8,715,1435.7,3414.2,1251.7,2616.2,2379.6,236.5,9077.3,1885.8,7191.5,3489,2540.8,694.4,467.3,3854.6,1094.3,322.7,771.6,2760.3,988.8,1771.5,1679,8496.9,1298.5,963.7,6234.6,256.5,10405.6,2484.8,12119.7,11513,58499.1,"Northeast",1,0.333333333333333,0.333333333333333
"New Jersey",2016,105.620044420018,34,597439,1246,229,1246,229,0,0,0,0,0,0,466,88,23007,0,0,0,312569,0,0,46546,22261,359115,2140838,0,5994,5994,16299,22293,192,5391330,4122689,1268641,8666,1259975,19832,5371498,4761040,7004,4413,16834,249911,259338,238067,547270,257206,91738,340071,320402,461504,91521,346856,137892,641923,122527,336151,290412,610458,49430,24616,536412,140774,395638,581504.4,520891.2,848.9,571.7,277.1,420,23.2,349.3,47.6,9782.2,21896.1,49527.3,16325.9,178.6,1341,547.1,1972.8,1664.4,4274.1,1135.5,249.5,450.6,452.2,4060.1,33201.5,4414.6,344.4,308.6,1271.9,1504.1,2211.7,21610.6,1535.4,47349.5,33171.5,20719.3,5904.8,254.5,399.4,4332.6,2093.5,149.7,4927.6,2657.2,24841.3,5879.6,1218.8,12462.8,5280.1,135101.7,38228.5,9179.8,9834.8,18902.4,311.5,96873.2,90339.1,6534.1,92700,54611.6,7453.8,12189.9,34967.9,17076.2,21012.2,19241.1,1771.1,53881.8,7580.4,46301.4,23911.2,14234,4695.2,3461,19411.5,5718.2,3038.7,2679.5,13693.3,4311.4,9381.9,11240.2,60613.1,6812.8,2390.4,51410,1268.9,80521,30501.5,74368.6,72692.3,448199,"Northeast",1,0.368421052631579,0
"New Mexico",2016,48.8454136628721,28,2015514,0,0,0,0,246549,18.48,13341,5.722,0,0,499,1366,43741,1422598,1.157,1229647,0,839040,146634,54822,8591,2563009,673638,0,10673,10673,407,11080,33285,1092500,861137,231363,21476,209887,29826,1062674,854245,5828,31814,4899,60008,33186,25372,113636,26673,16001,35685,39859,77751,6336,53890,17017,134263,24150,92523,55354,208429,29384,17046,161999,58715,103284,91240.2,68795.2,1404.6,1237.5,167,6201,3875.2,1430.5,895.3,1636,3301,3839.9,2034.6,57,258.3,36.4,167.2,96.2,1067.3,58.8,22.7,104.3,30.7,136,1805.3,676.7,7.8,5.6,106.9,58.1,584.1,251,115,3106.5,5477.1,2376.7,272,698.7,12.5,762.7,122.8,53.9,364.8,89.3,2686,298.4,804.2,1452.3,131.1,15406.4,3242.4,1212.2,379.2,1625.3,25.6,12164,11250.8,913.2,9635,6784.6,692.1,544.2,5548.4,502.4,2348,2012.8,335.2,7851.4,595.9,7255.6,3717.2,2060.9,583.9,893.5,3883.3,681.4,319.3,362.1,3201.9,800.5,2401.4,1990.1,22445,6939.2,3656.6,11849.2,7605.6,8583.7,4012.7,6525.9,14746.5,54048.7,"West",1,0.25,0
"Nevada",2016,39.970996753218,16,54082,0,0,0,0,0,0,0,5.722,0,0,32506,16518,85523,3,1.041,3,0,1585,277,88587,33324,90175,727193,0,2291,2291,773,3064,3175,1725136,1330163,394973,3122,391851,5286,1719850,1548001,1747,19757,4601,93397,49647,39827,174860,87728,20411,88353,100929,94349,30907,125761,16827,135535,54071,325208,84086,171849,18898,17681,135270,35396,99874,150287.3,133316.7,255.7,217.1,38.7,3144.4,2,2979.9,162.5,2379.7,6835.9,6173.5,4330.8,84.7,462.3,131.6,547.6,186.9,420.5,182.8,52.1,136.5,99.6,2026.2,1842.6,623.6,59.6,5.2,95.7,294.7,88.5,360.8,314.6,6313.8,10529.4,6961.2,2894.2,199.5,5.5,838.5,1121.5,9.6,1042.9,849.5,4255.9,578.5,628.6,2032.5,1016.4,30474.6,8334.7,4333.8,452.1,3424.7,124.1,22140,19280.5,2859.5,16444.7,7242.6,1576,838.8,4827.9,4219.8,4982.2,4601.7,380.5,10110,803.2,9306.9,5223.1,2861,613.2,609.6,26717.3,4925.6,3093.3,1832.3,21791.7,15941.9,5849.8,2720.5,16970.5,2316.9,1350.8,13302.8,3400.2,16843.3,9340.9,10429.4,16409.5,116907.2,"West",1,0.666666666666667,0.5
"New York",2016,170.150906544454,73,2403723,0,0,21669,3801,0,0,0,5.722,21669,3801,1185,248232,296467,13942,1.031,13523,434791,1287,225,412994,10674,863014,3768794,0,61123,61123,33736,94858,36376,12259144,9511415,2747729,31036,2716693,52058,12207086,10751109,14799,16206,43110,542418,487920,376951,1108822,431413,311959,912952,673095,987834,170990,620318,491720,1683848,361245,817193,698316,1455977,116505,55691,1283781,242756,1041025,1545987.7,1388795.2,2438.3,2033.9,404.4,791.1,79.7,675,36.4,20777.1,46961.6,70423.2,35254.4,688.3,2974.1,1195.4,5239.7,5954.9,10125.3,1387,1400.5,1711.5,984.2,3593.6,35168.8,11019.2,714.6,1469.6,2120,2023.8,622.6,13611.6,3587.6,70971.3,69961.1,31424.2,9030.5,499.9,614.2,4062.7,9770.8,377.4,5604.8,1464,124026.7,22516.7,20010.9,57942.8,23556.4,512413.6,301765.4,144316.4,94609.4,60395.2,2444.4,210648.2,200194.3,10454,198409.3,134720.9,39021.7,19170.8,76528.4,26772.3,36916.1,34122.6,2793.6,143638.6,34030.2,109608.4,45563.2,39200.5,12044.3,12800.3,66698.2,24396.6,19682.8,4713.7,42301.6,10977.4,31324.2,29860.8,157192.6,18402.8,5395.9,133393.9,3229.4,140932.4,52201.3,194449.9,120614.2,1268180.9,"Northeast",0,0.319148936170213,0
"Ohio",2016,205.322728604254,132,775584,8675,1597,88369,15575,309088,24.601,12564,5.722,79695,13978,3435,4619,21425,1647241,1.146,1437285,175893,123595,21600,166682,1874,2422499,3667777,0,41902,41902,14986,56888,11497,6931860,5583009,1348851,71081,1277770,91173,6840687,6037474,14833,35056,21017,332926,715645,254512,691426,261219,87555,342090,270691,388130,147896,420956,148936,893324,139396,504319,367547,803213,77650,35233,690330,177748,512582,621542.6,552893,2712.7,2226.1,486.6,7415.6,5957.3,979.1,479.2,10633.4,22390.3,102534.3,59054.7,1060.4,3359.4,5896.7,10727.7,8814.1,2244.4,4526.3,12195.9,6899.5,1107.6,2222.8,43479.6,11769.2,326.3,163.7,2151.7,2083.4,4141.5,16987.7,5856.1,39101.5,36812.7,19413.5,2232.7,1416.4,106.2,7183.1,622,1407.6,3661.7,2783.8,16749.7,5285.5,481.3,8351.4,2631.6,125639.9,57396.2,26212,3762.2,27159.9,262,68243.7,62044.5,6199.2,71933.7,32644.9,5497.1,7361.5,19786.3,20241.6,19047.2,17054.1,1993.1,61250.2,6181.4,55068.8,23683.6,21073.4,6550.9,3760.9,23392,7196.1,2814.6,4381.5,16195.9,2509,13686.9,12913.6,68649.6,10925.2,4069.1,53655.3,10128.3,75914.2,30047,119284,135052.8,417840.2,"North Central",1,0.741935483870968,0.5
"Oklahoma",2016,96.1010241034982,58,1341097,4466,822,4466,822,14440,22.072,654,5.722,0,0,24,23758,209175,2864577,1.161,2468312,0,885142,154691,243569,115,4007728,1624919,0,22216,22216,7712,29928,185278,2286701,1688892,597809,72747,525062,80147,2206554,1835605,9292,133274,12226,129523,140484,64174,230998,70115,26203,103767,83634,109110,22468,129489,30482,218738,33975,160931,126722,370949,48176,32897,289876,82985,206891,177813,148712.9,2433.3,2182.9,250.4,16329.7,14016.1,351.6,1961.9,4060.1,6998.7,15799.2,9619.6,277.5,1075.7,296.7,2099.3,2732.8,592.8,346.1,662.7,1125.6,131.3,279.3,6179.6,2052.4,53.6,50,756.7,154.9,1165.2,830.1,1116.6,9658.7,10641.5,12080.2,935.9,790.3,0.1,1931.1,73.6,6902,889,558.3,4938.3,899.9,131.7,3521.5,385.2,25338.1,7698.3,3275,668.8,3594,160.6,17639.8,15423.6,2216.1,15240,7685.6,1652.4,926.8,5106.5,2201.4,5353,5017.7,335.3,14812.7,1177.6,13635.1,6820.1,4447.4,1317.3,1050.4,6513,1221.5,542.4,679.1,5291.5,856.1,4435.4,3869.5,29100.1,5694.7,2453.4,20952,18763,20300.2,16140.3,20737.5,41560.8,107152.1,"South",1,1,1
"Oregon",2016,37.6650636843607,162,104123811,1394,257,6548,1161,0,0,0,0,5153,904,2928,318960,391102,848,1.059,801,0,0,0,468111,3140,468959,988158,0,64827,64827,5634,70461,66075,2450362,1901860,548502,35081,513421,59755,2390607,2103491,32372,6377,5150,125425,206019,82973,252015,78849,41708,94936,113731,160002,48029,130158,58916,287523,61007,189901,128400,287116,28339,11857,246920,39473,207447,214617.5,186883.7,4202.4,2619.9,1582.5,245.1,0.8,235.7,8.5,2901.9,8946.3,30458.5,24483.1,2206.4,620.9,1393.5,1500.1,1595.8,14274.7,445.8,556.4,765.3,482.6,641.5,5975.3,3128.9,70.5,106.6,807.4,434.8,157.9,782.3,487,11833.5,10897.5,6109,1347.4,400.7,99.5,1956,502.6,23.7,1289.8,489.3,7590,3585.8,542.4,1918.3,1543.5,43801.3,10389.5,3855.4,1020.3,5505,8.9,33411.7,30688.5,2723.3,25300.6,12294.9,1867.6,2402,8025.4,7125.7,5879.9,5291.9,588,20809.6,2112.2,18697.4,9014.8,5766.6,2035.4,1880.5,9087.9,1946.1,1086.8,859.3,7141.8,1838.1,5303.6,4700.3,27733.8,4219.1,610.3,22904.4,4447.5,22731,9011,38048.4,43852.2,143031.5,"West",0,0.2,0
"Pennsylvania",2016,217.977381515001,74,2394977,4761,876,18865,3350,1168609,25.468,45885,5.722,14104,2474,2162,21922,60247,5525743,1.061,5210208,867302,35888,6272,196773,4071,7794315,3762485,0,76880,76880,40781,117661,32093,7593966,6086437,1507529,50193,1457336,78218,7515748,6741704,19045,48348,26844,381098,590825,240241,773568,329824,102317,402738,300865,514431,146528,396022,300246,1079156,168183,498975,422450,774044,96895,35657,641492,192996,448496,726884.5,654816.1,2878.6,2202.7,676,11596.8,8042.5,2493.8,1060.6,12697.2,29708.5,85082.9,40660.8,1806.1,2875.2,4895.5,7343.3,5214.4,5256.8,3591.5,1877,2936.1,1387.8,3477.2,44422,10449.3,481.6,276.3,4134.4,2400.7,3805.8,18138.7,4735.1,41870.2,36666.4,26207.5,2939.6,1207.6,92.8,6734.3,1764.8,5482.4,3222.2,4763.9,48492.5,5258.6,1209.2,38446.4,3578.3,136674.1,48135.3,12933.2,6699.8,28143.7,358.6,88538.8,80532.3,8006.5,93618.4,53222,11480.1,9913.8,31828.2,22510.3,17886,15971.5,1914.5,87985.6,18058.1,69927.6,31098,23789.8,8843.1,6196.7,25568.5,8422.6,5112.2,3310.4,17145.9,3788.2,13357.7,15769,72068.4,13801.2,2906.8,55360.4,14475.4,78536.6,38904.6,133575.4,129266.8,525549.3,"Northeast",0,0.62962962962963,0.5
"Rhode Island",2016,9.5889416379859,10,489512,130,24,130,24,0,0,0,0,0,0,57,20,771,0,0,0,0,0,0,4700,450,4700,185173,0,1688,1688,2110,3799,245,632521,502602,129919,942,128977,1514,631007,558734,NA,NA,1717,30737,42872,18393,57194,16467,9747,36183,29015,41222,14505,35886,30784,89050,17222,51227,33999,72273,10735,6942,54596,22099,32497,57529.4,49974.2,105.2,37.7,67.5,42.3,0.1,42.1,0,857.4,2158.9,4931.9,3233.8,59.2,68.3,164.6,298.8,300.2,510.1,168.1,30.6,680,84.6,869.2,1698.1,256.2,183.1,6.3,102.2,127.6,30.7,679.3,312.6,3232.1,3073.8,915,153.3,6.3,27.3,252.5,143.2,6.2,240.7,85.5,1753.4,359.4,71.9,757.3,564.7,14035.4,5707.2,1448.9,1297.5,2947.9,13,8328.2,7866.3,461.9,7156.4,3298.5,688.6,865.7,1744.2,2192.2,1665.7,1466.7,199,7713.2,1870.1,5843.1,2310.1,2202.8,889,441.3,2785.4,705.8,286.8,418.9,2079.6,420.9,1658.7,1213.8,7555.3,1589.8,1032.4,4933.1,147.5,6305.9,1772.4,6685.3,7238.3,42735.8,"Northeast",0,0,0
"South Carolina",2016,72.2572054109419,77,22430291,0,0,0,0,0,0,0,0,0,0,648,20551,21612,0,0,0,583883,0,0,131043,412,714927,1658202,6011,104947,98936,4484,109432,0,2700035,2133824,566211,21496,544715,28766,2671269,2264572,11861,4912,13169,150090,248139,79644,295969,86781,33890,112045,124283,146193,21976,209228,46056,228903,53929,234065,163439,406697,33454,52149,321094,99007,222087,213584.6,180188.6,1064.9,610.6,454.3,333.7,1.7,322.7,9.4,5807,10428.6,35544.6,21721.8,922.2,1021.8,1013.8,3458.2,3248.4,1776,2723.7,4636.2,1675.5,444.4,801.6,13822.8,2205.3,1472.5,118.6,2529.2,385.7,177.8,4354.9,2578.8,12335.8,14198.2,4961.3,262.2,305.1,53,1943,162.7,20.9,1159,1055.3,5817.8,1075.7,138.6,3888.7,714.9,36399.4,9690.4,3661.9,862.4,5146.7,19.4,26709,24372,2337,22069.8,11591.2,2106.2,1832.6,7652.4,1935.1,8543.4,7049.5,1494,15739.1,1781.2,13957.9,8137,3274.3,1636.9,909.8,10492.8,1421.7,562.4,859.2,9071.2,2979.2,6091.9,4995.6,33396,4120,4045.6,25230.4,1398.7,26534,10768.2,41362.4,47371.9,132816.6,"South",1,0.818181818181818,1
"South Dakota",2016,14.8037657559994,32,76031784,0,0,154087,27026,0,0,0,5.722,154087,27026,1868,44365,80538,511,1.124,455,0,8045,1406,237289,15,245846,388097,0,2146,2146,519,2665,34290,597414,450853,146561,26288,120273,30910,566504,481437,5650,2950,2221,35219,44648,22575,68324,15827,7048,39926,24792,21411,5937,18910,10374,69136,11847,44316,30326,85067,11341,7990,65736,18556,47180,48731.3,43487.5,3179.9,3001.6,178.3,124.4,8,115,1.4,846.2,1928.6,4636.7,3210.7,181.6,295.4,49.3,342.5,708.8,162.4,62.9,229.8,30.1,152,996.2,1425.9,786.1,30.1,0.7,63.9,102.5,8.8,318.3,115.6,3376.9,3385.2,1144.9,76.7,148.2,NA,602.1,61.5,20.6,191.6,44.1,1214.2,145.2,31.5,973,64.4,12967.4,8383.8,6800.6,175.7,1323.4,84.1,4583.7,4374.1,209.6,2818.9,1470.4,243.3,250.9,976.2,653.7,694.8,628.4,66.4,4975.4,352.8,4622.6,1972.3,1906.6,480.4,263.3,1886,284.4,99.5,185,1601.5,709.9,891.6,1002.9,5243.8,754.2,485.6,4004,3304.2,6762.2,1991.1,5850.8,9869.5,33618,"North Central",1,1,1
"Tennessee",2016,101.354802753842,60,1102457,250,46,25503,4475,16596,25.771,644,5.722,25253,4429,213,62538,64645,4180,1.16,3603,309357,1471,257,154183,1546,485787,2207227,0,58624,58624,5411,64036,348,3951095,3039791,911304,64702,846602,73879,3877216,3432427,11033,9609,4331,211613,359615,131338,413531,203069,57103,177866,149503,213660,49567,303768,78877,420887,85674,309182,242201,444789,49729,21498,373562,93408,280154,334435.7,296580.6,1316.7,1003.2,313.5,662.4,7.4,628.1,26.9,1927.9,12331.5,52013.4,30111.8,962.2,1624.6,1545.6,3915.4,3292.9,742.3,3939.6,10276.1,564,563,2686.1,21901.5,8274.1,548.3,179.3,2904.4,1124.3,622.9,5723.9,2524.4,22917.6,22516.7,15185.4,768.9,804.3,415.7,5294.5,496.5,395.3,5162.5,1847.6,10036.7,1854.5,1880.8,5043.7,1257.8,55836.3,19357.9,7129,2086.7,9847.4,294.7,36478.4,33151.2,3327.2,36659.4,17941.9,2655,2501.3,12785.6,5862.3,12855.2,11915.3,939.9,38972.2,3755.4,35216.9,16480.5,14587,2671.9,1477.6,18101.1,6027.5,4929.3,1098.2,12073.6,3105.7,8967.9,8103.4,37855.2,9554.2,1173.2,27127.7,1979.1,45434.3,17113.3,62050.1,66324,230256.6,"South",1,0.733333333333333,1
